PMID,Abstract,Processed_abstract
39921842,"Aberrant activation of the Wnt/β-catenin signaling pathway, primarily driven by APC mutation and AXIN degradation via Tankyrase, contributes significantly to colorectal cancer (CRC) progression and metastasis. The accumulation of β-catenin, resulting from the dysregulated ubiquitination, underscores the need for alternative therapeutic strategies targeting Tankyrase and β-catenin. This present study explores microbial metabolites as a source of novel anti-cancer agents, leveraging their unique bioactivity and structural diversity, often exhibiting superior target specificity and lower toxicity than synthetic drugs. Through a computational drug discovery pipeline, a large library of 27641 microbial metabolites was initially screened based on multiple drug-likeliness criteria, resulting in the selection of 2527 compounds. Among the screened compounds, an integrated computational workflow comprising molecular docking, molecular dynamic simulations (MDS), MM/PBSA analysis, and Principal component analysis (PCA) identified Terreustoxin I (T1) as a potential Tankyrase inhibitor. In contrast, compound 10- phenyl-[12]-cytochalasin Z16 (B1) demonstrated a strong binding affinity within the β-catenin active site. Under physiological conditions, these lead compounds were evaluated for conformational stability, binding efficacy, and dynamic behavior. Additionally, ADMET profiling, physiochemical properties, and bioactivity score predictions confirmed the identified compounds' pharmacokinetic suitability and reduced toxicity profile. In silico, cytotoxicity predictions showed significant activity against SW480 and HCT90 colorectal cell lines, with additional anti-neoplastic and anti-leukemic properties, strengthening their candidacy as effective anti-cancer agents. These findings provide a foundation for further experimental validation and development of novel CRC therapies with improved safety and efficacy potential.","aberrant activation wnt/-catenin signaling pathway , primarily driven apc mutation axin degradation via tankyrase , contributes significantly colorectal cancer crc progression metastasis . accumulation -catenin , resulting dysregulated ubiquitination , underscore need alternative therapeutic strategy targeting tankyrase -catenin . present study explores microbial metabolite source novel anti-cancer agent , leveraging unique bioactivity structural diversity , often exhibiting superior target specificity lower toxicity synthetic drug . computational drug discovery pipeline , large library 27641 microbial metabolite initially screened based multiple drug-likeliness criterion , resulting selection 2527 compound . among screened compound , integrated computational workflow comprising molecular docking , molecular dynamic simulation md , mm/pbsa analysis , principal component analysis pca identified terreustoxin t1 potential tankyrase inhibitor . contrast , compound 10- phenyl-12-cytochalasin z16 b1 demonstrated strong binding affinity within -catenin active site . physiological condition , lead compound evaluated conformational stability , binding efficacy , dynamic behavior . additionally , admet profiling , physiochemical property , bioactivity score prediction confirmed identified compound pharmacokinetic suitability reduced toxicity profile . silico , cytotoxicity prediction showed significant activity sw480 hct90 colorectal cell line , additional anti-neoplastic anti-leukemic property , strengthening candidacy effective anti-cancer agent . finding provide foundation experimental validation development novel crc therapy improved safety efficacy potential ."
39921807,"Cancer cells can modulate the expression of many proteins that are essential for supporting their uncontrolled proliferation. Heat shock protein 90 (HSP90) is ubiquitously expressed in most cell types and participates in controlling many survival pathways. Cancer cells utilize HSP90 in order to prolong their survival, thus they tend to overexpress it. Based on its importance for cancer cells, we aim to investigate the molecular mechanisms that link HSP90 inhibition in colon cancer cells with oxidative stress and mitochondrial stress-related regulators.","cancer cell modulate expression many protein essential supporting uncontrolled proliferation . heat shock protein 90 hsp90 ubiquitously expressed cell type participates controlling many survival pathway . cancer cell utilize hsp90 order prolong survival , thus tend overexpress . based importance cancer cell , aim investigate molecular mechanism link hsp90 inhibition colon cancer cell oxidative stress mitochondrial stress-related regulator ."
39921789,"Colorectal cancer (CRC) is a molecularly heterogeneous disease, and its treatment and prognosis vary greatly among subgroups. Therefore, it is necessary to identify prognostic factors associated with the biological heterogeneity of CRC in order to improve patients' survival expectations.","colorectal cancer crc molecularly heterogeneous disease , treatment prognosis vary greatly among subgroup . therefore , necessary identify prognostic factor associated biological heterogeneity crc order improve patient survival expectation ."
39921761,"Ingenol mebutate (IM), a diterpene ester derived from Euphorbia species, has demonstrated promising anticancer properties through direct cytotoxicity and immune modulation. Despite initial clinical success, its therapeutic use has been curtailed due to safety concerns, including potential links to increased skin cancer risk. This review evaluates the mechanisms of action, preclinical and clinical efficacy, safety, and limitations of IM as an anticancer agent, identifying areas for further development. A comprehensive literature review was performed using Google Scholar to identify English-language articles published from 2010 to 2023. Keywords included ""Ingenol mebutate,"" ""PEP005,"" and ""cancer therapy."" Articles focusing on IM's pharmacological properties, therapeutic mechanisms, clinical studies, and safety profile were included. IM exerts anticancer effects through dual mechanisms: mitochondrial dysfunction leading to necrosis and immune-mediated cytotoxicity via protein kinase C activation. Preclinical studies show efficacy against pancreatic, colorectal, and epithelial cancers and clinical studies have reported success in treating actinic keratosis and nonmelanoma skin cancers. Challenges include intense local skin reactions and safety concerns, particularly its potential association with increased skin malignancy risk. IM represents a promising therapeutic agent due to its rapid and potent anticancer effects. However, optimizing its safety profile and exploring advanced delivery methods are critical to expanding its clinical applications. Further studies are required to establish its long-term efficacy and potential for broader use in oncology.","ingenol mebutate im , diterpene ester derived euphorbia specie , demonstrated promising anticancer property direct cytotoxicity immune modulation . despite initial clinical success , therapeutic use curtailed due safety concern , including potential link increased skin cancer risk . review evaluates mechanism action , preclinical clinical efficacy , safety , limitation im anticancer agent , identifying area development . comprehensive literature review performed using google scholar identify english-language article published 2010 2023. keywords included ingenol mebutate , pep005 , cancer therapy . article focusing ims pharmacological property , therapeutic mechanism , clinical study , safety profile included . im exerts anticancer effect dual mechanism mitochondrial dysfunction leading necrosis immune-mediated cytotoxicity via protein kinase c activation . preclinical study show efficacy pancreatic , colorectal , epithelial cancer clinical study reported success treating actinic keratosis nonmelanoma skin cancer . challenge include intense local skin reaction safety concern , particularly potential association increased skin malignancy risk . im represents promising therapeutic agent due rapid potent anticancer effect . however , optimizing safety profile exploring advanced delivery method critical expanding clinical application . study required establish long-term efficacy potential broader use oncology ."
39921753,"Metastasis and chemoresistance are often major challenges in advanced-stage colorectal cancer. Bufalin has a therapeutic effect on both metastasis and drug resistance, but how bufalin affects chemoresistance-mediated metastasis remains unclear.","metastasis chemoresistance often major challenge advanced-stage colorectal cancer . bufalin therapeutic effect metastasis drug resistance , bufalin affect chemoresistance-mediated metastasis remains unclear ."
39921520,"Colorectal cancer (CRC) is one of the most common cancers worldwide and liver metastasis is the leading reason for its mortality. Circular RNAs (circRNAs) are conclusively associated with the progression of various cancers, rendering the exploration of its specific mechanisms in colorectal cancer liver metastasis(CRLM) highly valuable. Combined with GEO (Gene Expression Omnibus) databases and clinical data in our center, we found that high expression of circSATB1 is closely related to the progression of CRLM. Functionally, circSATB1 could significantly promote the metastatic ability of CRC cells in vitro and in vivo. Mechanistically, circSATB1 facilitated the RNF25-mediated ubiquitylation and degradation of FKBP8, releasing its inhibitory effects on mTOR signaling. In this process, circSATB1 acted as a scaffold for RNF25-FKBP8 complexes. Additionally, circSATB1 could be packaged in exosomes and secreted from the CRC primary tumors into plasma. In conclusion, this study uncovered a new circSATB1 that acts as a potent promoter of CRLM and offers novel insights into the precision therapeutic strategies for CRLM.","colorectal cancer crc one common cancer worldwide liver metastasis leading reason mortality . circular rna circrnas conclusively associated progression various cancer , rendering exploration specific mechanism colorectal cancer liver metastasiscrlm highly valuable . combined geo gene expression omnibus database clinical data center , found high expression circsatb1 closely related progression crlm . functionally , circsatb1 could significantly promote metastatic ability crc cell vitro vivo . mechanistically , circsatb1 facilitated rnf25-mediated ubiquitylation degradation fkbp8 , releasing inhibitory effect mtor signaling . process , circsatb1 acted scaffold rnf25-fkbp8 complex . additionally , circsatb1 could packaged exosomes secreted crc primary tumor plasma . conclusion , study uncovered new circsatb1 act potent promoter crlm offer novel insight precision therapeutic strategy crlm ."
39921517,"Industrial food processing has been linked to various health outcomes including cancer. To examine associations between the degree of food processing and risk of colorectal cancer (CRC) and its sub-sites, data from the European Prospective Investigation into Cancer (EPIC) including 6155 incident CRC cases (n = 450,111 participants), were analyzed. Dietary intakes were assessed using baseline food frequency questionnaires. Foods were classified into culinary ingredients, unprocessed, processed (PFs), and ultra-processed foods (UPFs) according to the Nova classification. Cox proportional hazards models, adjusted for established CRC risk factors, were used to estimate hazard ratios (HRs) and 95% confidence intervals (95% CIs) associated with a 10% increase in proportion of consumption (%g/d) of each Nova group. Substitution analysis examined the effect of replacing UPFs and PFs with unprocessed foods on CRC risk. A 10% increase in proportion of UPFs was associated with 6% higher CRC risk (95% CI:1.02-1.10). A positive association was also found between PFs and CRC risk (HR per 10% increase: 1.10 [95% CI, 1.05-1.15]). Conversely, unprocessed food consumption was inversely associated with CRC risk (HR per 10% increase: 0.93[95% CI, 0.90-0.95]). Substitution of 10% of the overall proportion of the diet comprising UPFs or PFs with 10% unprocessed foods was associated with a decreased risk of CRC (HRUPFs: 0.94 [95% CI, 0.90-0.97]; HRPFs: 0.90 [95% CI, 0.86-0.94]). In conclusion, UPF was positively associated with CRC risk while diets richer in unprocessed foods were associated with lower CRC risk. Further studies are needed to understand the mechanisms by which food processing affects CRC risk.","industrial food processing linked various health outcome including cancer . examine association degree food processing risk colorectal cancer crc sub-sites , data european prospective investigation cancer epic including 6155 incident crc case n = 450,111 participant , analyzed . dietary intake assessed using baseline food frequency questionnaire . food classified culinary ingredient , unprocessed , processed pfs , ultra-processed food upfs according nova classification . cox proportional hazard model , adjusted established crc risk factor , used estimate hazard ratio hr 95 % confidence interval 95 % ci associated 10 % increase proportion consumption % g/d nova group . substitution analysis examined effect replacing upfs pfs unprocessed food crc risk . 10 % increase proportion upfs associated 6 % higher crc risk 95 % ci1.02-1.10 . positive association also found pfs crc risk hr per 10 % increase 1.10 95 % ci , 1.05-1.15. conversely , unprocessed food consumption inversely associated crc risk hr per 10 % increase 0.9395 % ci , 0.90-0.95. substitution 10 % overall proportion diet comprising upfs pfs 10 % unprocessed food associated decreased risk crc hrupfs 0.94 95 % ci , 0.90-0.97 hrpfs 0.90 95 % ci , 0.86-0.94. conclusion , upf positively associated crc risk diet richer unprocessed food associated lower crc risk . study needed understand mechanism food processing affect crc risk ."
39921341,"Medical illnesses are major stressors not only for the patients but also for their family caregivers, yet existing tools are inadequate to assess mechanistic response patterns to such stressors.","medical illness major stressor patient also family caregiver , yet existing tool inadequate ass mechanistic response pattern stressor ."
39921239,"It is increasingly recognized that young, chow-fed inbred mice poorly model the complexity of human carcinogenesis. In humans, age and adiposity are major risk factors for malignancies, but most genetically engineered mouse models (GEMM) induce carcinogenesis too rapidly to study these influences. Standard strains, such as C57BL/6, commonly used in GEMMs, further limit the exploration of aging and metabolic health effects. A similar challenge arises in modeling periodontitis, a disease influenced by aging, diabesity, and genetic architecture. We propose using diverse mouse populations with hybrid vigor, such as the Collaborative Cross (CC) × ApcMin hybrid, to slow disease progression and better model human colorectal cancer (CRC) and comorbidities. This perspective highlights the advantages of this model, where delayed carcinogenesis reveals interactions with aging and adiposity. Unlike ApcMin mice, which develop cancer rapidly, CC × ApcMin hybrids recapitulate human-like progression. This facilitates the identification of modifier loci affecting inflammation, diet susceptibility, organ size, and polyposis distribution. The CC × ApcMin model offers a transformative platform for studying CRC as a disease of adulthood, reflecting its complex interplay with aging and comorbidities. The insights gained from this approach will enhance early detection, management, and treatment strategies for CRC and related conditions.","increasingly recognized young , chow-fed inbred mouse poorly model complexity human carcinogenesis . human , age adiposity major risk factor malignancy , genetically engineered mouse model gemm induce carcinogenesis rapidly study influence . standard strain , c57bl/6 , commonly used gemms , limit exploration aging metabolic health effect . similar challenge arises modeling periodontitis , disease influenced aging , diabesity , genetic architecture . propose using diverse mouse population hybrid vigor , collaborative cross cc apcmin hybrid , slow disease progression better model human colorectal cancer crc comorbidities . perspective highlight advantage model , delayed carcinogenesis reveals interaction aging adiposity . unlike apcmin mouse , develop cancer rapidly , cc apcmin hybrid recapitulate human-like progression . facilitates identification modifier locus affecting inflammation , diet susceptibility , organ size , polyposis distribution . cc apcmin model offer transformative platform studying crc disease adulthood , reflecting complex interplay aging comorbidities . insight gained approach enhance early detection , management , treatment strategy crc related condition ."
39921055,"Reprogrammed metabolism is an important basis of colorectal cancer (CRC) progression; however, its mechanisms remain unclear. This study illustrated a novel mechanism for long noncoding RNA (lncRNA) CRCMSL in CRC, which was identified as a CRC suppressor in our previous study.","reprogrammed metabolism important basis colorectal cancer crc progression however , mechanism remain unclear . study illustrated novel mechanism long noncoding rna lncrna crcmsl crc , identified crc suppressor previous study ."
